model_size,question_type,design,criteria,material,mean_error
1.5,zero-shot,safety helmet,lightweight,thermoplastic,4.958333333333333
1.5,zero-shot,safety helmet,lightweight,elastomer,5.930555555555555
1.5,zero-shot,safety helmet,lightweight,thermoset,4.305555555555555
1.5,zero-shot,safety helmet,lightweight,composite,1.375
1.5,zero-shot,safety helmet,heat resistant,steel,5.915492957746479
1.5,zero-shot,safety helmet,heat resistant,aluminum,3.056338028169014
1.5,zero-shot,safety helmet,heat resistant,titanium,2.9295774647887325
1.5,zero-shot,safety helmet,heat resistant,glass,6.943661971830986
1.5,zero-shot,safety helmet,heat resistant,wood,5.408450704225352
1.5,zero-shot,safety helmet,heat resistant,thermoplastic,1.8591549295774648
1.5,zero-shot,safety helmet,heat resistant,elastomer,3.6056338028169015
1.5,zero-shot,safety helmet,heat resistant,thermoset,3.3098591549295775
1.5,zero-shot,safety helmet,heat resistant,composite,-0.36619718309859156
1.5,zero-shot,safety helmet,corrosion resistant,steel,4.027777777777778
1.5,zero-shot,safety helmet,corrosion resistant,aluminum,3.5833333333333335
1.5,zero-shot,safety helmet,corrosion resistant,titanium,1.1388888888888888
1.5,zero-shot,safety helmet,corrosion resistant,glass,5.236111111111111
1.5,zero-shot,safety helmet,corrosion resistant,wood,-2.9444444444444446
1.5,zero-shot,safety helmet,corrosion resistant,thermoplastic,3.638888888888889
1.5,zero-shot,safety helmet,corrosion resistant,elastomer,4.277777777777778
1.5,zero-shot,safety helmet,corrosion resistant,thermoset,2.9583333333333335
1.5,zero-shot,safety helmet,corrosion resistant,composite,0.9305555555555556
1.5,zero-shot,safety helmet,high strength,steel,4.71830985915493
1.5,zero-shot,safety helmet,high strength,aluminum,2.211267605633803
1.5,zero-shot,safety helmet,high strength,titanium,3.6338028169014085
1.5,zero-shot,safety helmet,high strength,glass,-3.3380281690140845
1.5,zero-shot,safety helmet,high strength,wood,-3.183098591549296
1.5,zero-shot,safety helmet,high strength,thermoplastic,1.2253521126760563
1.5,zero-shot,safety helmet,high strength,elastomer,2.732394366197183
1.5,zero-shot,safety helmet,high strength,thermoset,1.9577464788732395
1.5,zero-shot,safety helmet,high strength,composite,-0.2112676056338028
1.5,few-shot,kitchen utensil grip,lightweight,steel,2.364864864864865
1.5,few-shot,kitchen utensil grip,lightweight,aluminum,-2.7228915662650603
1.5,few-shot,kitchen utensil grip,lightweight,titanium,-0.23595505617977527
1.5,few-shot,kitchen utensil grip,lightweight,glass,8.113924050632912
1.5,few-shot,kitchen utensil grip,lightweight,wood,5.973684210526316
1.5,few-shot,kitchen utensil grip,lightweight,thermoplastic,5.753086419753086
1.5,few-shot,kitchen utensil grip,lightweight,elastomer,7.205479452054795
1.5,few-shot,kitchen utensil grip,lightweight,thermoset,4.373333333333333
1.5,few-shot,kitchen utensil grip,lightweight,composite,-1.051948051948052
1.5,few-shot,kitchen utensil grip,heat resistant,steel,4.136986301369863
1.5,few-shot,kitchen utensil grip,heat resistant,aluminum,-1.2054794520547945
1.5,few-shot,kitchen utensil grip,heat resistant,titanium,2.041095890410959
1.5,few-shot,kitchen utensil grip,heat resistant,glass,6.8493150684931505
1.5,few-shot,kitchen utensil grip,heat resistant,wood,2.0273972602739727
1.5,few-shot,kitchen utensil grip,heat resistant,thermoplastic,3.6575342465753424
1.5,few-shot,kitchen utensil grip,heat resistant,elastomer,4.164383561643835
1.5,few-shot,kitchen utensil grip,heat resistant,thermoset,1.5753424657534247
1.5,few-shot,kitchen utensil grip,heat resistant,composite,0.1232876712328767
1.5,few-shot,kitchen utensil grip,corrosion resistant,steel,2.4794520547945207
1.5,few-shot,kitchen utensil grip,corrosion resistant,aluminum,0.0684931506849315
1.5,few-shot,kitchen utensil grip,corrosion resistant,titanium,1.9452054794520548
1.5,few-shot,kitchen utensil grip,corrosion resistant,glass,3.5205479452054793
1.5,few-shot,kitchen utensil grip,corrosion resistant,wood,2.643835616438356
1.5,few-shot,kitchen utensil grip,corrosion resistant,thermoplastic,4.589041095890411
1.5,few-shot,kitchen utensil grip,corrosion resistant,elastomer,4.958904109589041
1.5,few-shot,kitchen utensil grip,corrosion resistant,thermoset,1.8082191780821917
1.5,few-shot,kitchen utensil grip,corrosion resistant,composite,1.3013698630136987
1.5,few-shot,kitchen utensil grip,high strength,steel,4.891891891891892
1.5,few-shot,kitchen utensil grip,high strength,aluminum,-1.2567567567567568
1.5,few-shot,kitchen utensil grip,high strength,titanium,0.17567567567567569
1.5,few-shot,kitchen utensil grip,high strength,glass,2.527027027027027
1.5,few-shot,kitchen utensil grip,high strength,wood,1.7027027027027026
1.5,few-shot,kitchen utensil grip,high strength,thermoplastic,1.9864864864864864
1.5,few-shot,kitchen utensil grip,high strength,elastomer,2.918918918918919
1.5,few-shot,kitchen utensil grip,high strength,thermoset,0.47297297297297297
1.5,few-shot,kitchen utensil grip,high strength,composite,-0.44594594594594594
1.5,few-shot,spacecraft component,lightweight,steel,0.04225352112676056
1.5,few-shot,spacecraft component,lightweight,aluminum,-1.0704225352112675
1.5,few-shot,spacecraft component,lightweight,titanium,-0.43661971830985913
1.5,few-shot,spacecraft component,lightweight,glass,6.450704225352113
1.5,few-shot,spacecraft component,lightweight,wood,3.2816901408450705
1.5,few-shot,spacecraft component,lightweight,thermoplastic,4.422535211267606
1.5,few-shot,spacecraft component,lightweight,elastomer,5.71830985915493
1.5,few-shot,spacecraft component,lightweight,thermoset,2.3661971830985915
1.5,few-shot,spacecraft component,lightweight,composite,0.19718309859154928
1.5,few-shot,spacecraft component,heat resistant,steel,3.8666666666666667
1.5,few-shot,spacecraft component,heat resistant,aluminum,-2.1066666666666665
1.5,few-shot,spacecraft component,heat resistant,titanium,0.26666666666666666
1.5,few-shot,spacecraft component,heat resistant,glass,5.973333333333334
1.5,few-shot,spacecraft component,heat resistant,wood,5.986666666666666
1.5,few-shot,spacecraft component,heat resistant,thermoplastic,4.373333333333333
1.5,few-shot,spacecraft component,heat resistant,elastomer,5.506666666666667
1.5,few-shot,spacecraft component,heat resistant,thermoset,2.533333333333333
1.5,few-shot,spacecraft component,heat resistant,composite,-0.8266666666666667
1.5,few-shot,spacecraft component,corrosion resistant,steel,1.5942028985507246
1.5,few-shot,spacecraft component,corrosion resistant,aluminum,-0.6521739130434783
1.5,few-shot,spacecraft component,corrosion resistant,titanium,-0.7681159420289855
1.5,few-shot,spacecraft component,corrosion resistant,glass,2.9130434782608696
1.5,few-shot,spacecraft component,corrosion resistant,wood,3.782608695652174
1.5,few-shot,spacecraft component,corrosion resistant,thermoplastic,6.072463768115942
1.5,few-shot,spacecraft component,corrosion resistant,elastomer,6.913043478260869
1.5,few-shot,spacecraft component,corrosion resistant,thermoset,3.739130434782609
1.5,few-shot,spacecraft component,corrosion resistant,composite,1.1884057971014492
1.5,few-shot,spacecraft component,high strength,steel,3.164383561643836
1.5,few-shot,spacecraft component,high strength,aluminum,-1.6849315068493151
1.5,few-shot,spacecraft component,high strength,titanium,-0.8904109589041096
1.5,few-shot,spacecraft component,high strength,glass,3.8767123287671232
1.5,few-shot,spacecraft component,high strength,wood,2.191780821917808
1.5,few-shot,spacecraft component,high strength,thermoplastic,3.328767123287671
1.5,few-shot,spacecraft component,high strength,elastomer,4.315068493150685
1.5,few-shot,spacecraft component,high strength,thermoset,1.452054794520548
1.5,few-shot,spacecraft component,high strength,composite,-0.4931506849315068
1.5,few-shot,underwater component,lightweight,steel,0.35135135135135137
1.5,few-shot,underwater component,lightweight,aluminum,-1.4864864864864864
1.5,few-shot,underwater component,lightweight,titanium,-1.6891891891891893
1.5,few-shot,underwater component,lightweight,glass,5.0
1.5,few-shot,underwater component,lightweight,wood,6.472972972972973
1.5,few-shot,underwater component,lightweight,thermoplastic,5.72972972972973
1.5,few-shot,underwater component,lightweight,elastomer,6.878378378378378
1.5,few-shot,underwater component,lightweight,thermoset,3.7162162162162162
1.5,few-shot,underwater component,lightweight,composite,-0.36486486486486486
1.5,few-shot,underwater component,heat resistant,steel,3.3947368421052633
1.5,few-shot,underwater component,heat resistant,aluminum,-1.355263157894737
1.5,few-shot,underwater component,heat resistant,titanium,-0.2631578947368421
1.5,few-shot,underwater component,heat resistant,glass,6.105263157894737
1.5,few-shot,underwater component,heat resistant,wood,6.026315789473684
1.5,few-shot,underwater component,heat resistant,thermoplastic,4.75
1.5,few-shot,underwater component,heat resistant,elastomer,5.5131578947368425
1.5,few-shot,underwater component,heat resistant,thermoset,4.842105263157895
1.5,few-shot,underwater component,heat resistant,composite,-0.3026315789473684
1.5,few-shot,underwater component,corrosion resistant,steel,0.7564102564102564
1.5,few-shot,underwater component,corrosion resistant,aluminum,-0.47435897435897434
1.5,few-shot,underwater component,corrosion resistant,titanium,-0.9871794871794872
1.5,few-shot,underwater component,corrosion resistant,glass,4.038461538461538
1.5,few-shot,underwater component,corrosion resistant,wood,5.32051282051282
1.5,few-shot,underwater component,corrosion resistant,thermoplastic,6.371794871794871
1.5,few-shot,underwater component,corrosion resistant,elastomer,6.705128205128205
1.5,few-shot,underwater component,corrosion resistant,thermoset,3.9743589743589745
1.5,few-shot,underwater component,corrosion resistant,composite,1.8717948717948718
1.5,few-shot,underwater component,high strength,steel,4.197183098591549
1.5,few-shot,underwater component,high strength,aluminum,-1.1267605633802817
1.5,few-shot,underwater component,high strength,titanium,-1.028169014084507
1.5,few-shot,underwater component,high strength,glass,2.5492957746478875
1.5,few-shot,underwater component,high strength,wood,5.605633802816901
1.5,few-shot,underwater component,high strength,thermoplastic,3.7464788732394365
1.5,few-shot,underwater component,high strength,elastomer,4.788732394366197
1.5,few-shot,underwater component,high strength,thermoset,2.0140845070422535
1.5,few-shot,underwater component,high strength,composite,0.18309859154929578
1.5,few-shot,safety helmet,lightweight,steel,0.4166666666666667
1.5,few-shot,safety helmet,lightweight,aluminum,-0.8333333333333334
1.5,few-shot,safety helmet,lightweight,titanium,-1.3055555555555556
1.5,few-shot,safety helmet,lightweight,glass,-0.3611111111111111
1.5,few-shot,safety helmet,lightweight,wood,6.388888888888889
1.5,few-shot,safety helmet,lightweight,thermoplastic,5.958333333333333
