model_size,question_type,design,criteria,material,r2
1.7,agentic,spacecraft component,high strength,elastomer,0.9861396303901437
1.7,agentic,spacecraft component,high strength,thermoset,0.9537057895922505
1.7,agentic,spacecraft component,high strength,composite,0.9725875881860576
1.7,agentic,underwater component,lightweight,steel,0.914122644013804
1.7,agentic,underwater component,lightweight,aluminum,0.9569878584345131
1.7,agentic,underwater component,lightweight,titanium,0.9802576789300935
1.7,agentic,underwater component,lightweight,glass,0.9864864864864865
1.7,agentic,underwater component,lightweight,wood,0.7998073333734722
1.7,agentic,underwater component,lightweight,thermoplastic,0.9797869765190027
1.7,agentic,underwater component,lightweight,elastomer,0.8983138512465088
1.7,agentic,underwater component,lightweight,thermoset,0.9811989034715315
1.7,agentic,underwater component,lightweight,composite,0.9857726979268788
1.7,agentic,underwater component,heat resistant,steel,0.9163567086999909
1.7,agentic,underwater component,heat resistant,aluminum,0.982252483536109
1.7,agentic,underwater component,heat resistant,titanium,0.9713257740950719
1.7,agentic,underwater component,heat resistant,glass,0.9853176989376629
1.7,agentic,underwater component,heat resistant,wood,0.9777395154347559
1.7,agentic,underwater component,heat resistant,thermoplastic,0.9593182957393483
1.7,agentic,underwater component,heat resistant,elastomer,0.9520232123979396
1.7,agentic,underwater component,heat resistant,thermoset,0.9290046378879772
1.7,agentic,underwater component,heat resistant,composite,0.9730632179611771
1.7,agentic,underwater component,corrosion resistant,steel,0.9609428993032856
1.7,agentic,underwater component,corrosion resistant,aluminum,0.9867576726189046
1.7,agentic,underwater component,corrosion resistant,titanium,0.978649896083565
1.7,agentic,underwater component,corrosion resistant,glass,0.9679205802300153
1.7,agentic,underwater component,corrosion resistant,wood,0.9769220010256888
1.7,agentic,underwater component,corrosion resistant,thermoplastic,0.9759700405700613
1.7,agentic,underwater component,corrosion resistant,elastomer,0.9142364602786957
1.7,agentic,underwater component,corrosion resistant,thermoset,0.9343013698630137
1.7,agentic,underwater component,corrosion resistant,composite,0.9553945470778106
1.7,agentic,underwater component,high strength,steel,0.9837010923967445
1.7,agentic,underwater component,high strength,aluminum,0.9188679245283019
1.7,agentic,underwater component,high strength,titanium,0.9772741501283416
1.7,agentic,underwater component,high strength,glass,0.9793413912185496
1.7,agentic,underwater component,high strength,wood,0.9748683710579167
1.7,agentic,underwater component,high strength,thermoplastic,0.9420675766390691
1.7,agentic,underwater component,high strength,elastomer,0.9838069791919682
1.7,agentic,underwater component,high strength,thermoset,0.9516160024595519
1.7,agentic,underwater component,high strength,composite,0.9723810957254666
1.7,agentic,safety helmet,lightweight,steel,0.957314751351763
1.7,agentic,safety helmet,lightweight,aluminum,0.9493290960451978
1.7,agentic,safety helmet,lightweight,titanium,0.9787732500354962
1.7,agentic,safety helmet,lightweight,glass,0.9701195219123506
1.7,agentic,safety helmet,lightweight,wood,0.9359844810863239
1.7,agentic,safety helmet,lightweight,thermoplastic,0.9785150339743061
1.7,agentic,safety helmet,lightweight,elastomer,0.8107501064942106
1.7,agentic,safety helmet,lightweight,thermoset,0.9828785164893057
1.7,agentic,safety helmet,lightweight,composite,0.9665689708580552
1.7,agentic,safety helmet,heat resistant,steel,0.7957595964777293
1.7,agentic,safety helmet,heat resistant,aluminum,0.9515790723444673
1.7,agentic,safety helmet,heat resistant,titanium,0.9545454545454546
1.7,agentic,safety helmet,heat resistant,glass,0.4852785613540196
1.7,agentic,safety helmet,heat resistant,wood,0.9697380920070566
1.7,agentic,safety helmet,heat resistant,thermoplastic,0.9218473318975832
1.7,agentic,safety helmet,heat resistant,elastomer,0.9290881304126337
1.7,agentic,safety helmet,heat resistant,thermoset,0.9334294703723125
1.7,agentic,safety helmet,heat resistant,composite,0.9785918540845506
1.7,agentic,safety helmet,corrosion resistant,steel,0.98481332332264
1.7,agentic,safety helmet,corrosion resistant,aluminum,0.9388425574930502
1.7,agentic,safety helmet,corrosion resistant,titanium,0.966789899116486
1.7,agentic,safety helmet,corrosion resistant,glass,0.9426602980343818
1.7,agentic,safety helmet,corrosion resistant,wood,0.9846089071856288
1.7,agentic,safety helmet,corrosion resistant,thermoplastic,0.9551658682093465
1.7,agentic,safety helmet,corrosion resistant,elastomer,0.9823872275722251
1.7,agentic,safety helmet,corrosion resistant,thermoset,0.9430455197917427
1.7,agentic,safety helmet,corrosion resistant,composite,0.9662611152129947
1.7,agentic,safety helmet,high strength,steel,0.9476879171906742
1.7,agentic,safety helmet,high strength,aluminum,0.9600566804945168
1.7,agentic,safety helmet,high strength,titanium,0.9685062764614127
1.7,agentic,safety helmet,high strength,glass,0.9744271150997648
1.7,agentic,safety helmet,high strength,wood,0.9018248547252523
1.7,agentic,safety helmet,high strength,thermoplastic,0.9786654561960962
1.7,agentic,safety helmet,high strength,elastomer,0.9723388997028993
1.7,agentic,safety helmet,high strength,thermoset,0.9557274701411509
1.7,agentic,safety helmet,high strength,composite,0.978330550918197
1.7,zero-shot,kitchen utensil grip,lightweight,steel,0.9464892198545876
1.7,zero-shot,kitchen utensil grip,lightweight,aluminum,0.9877236936292054
1.7,zero-shot,kitchen utensil grip,lightweight,titanium,0.9769748248838338
1.7,zero-shot,kitchen utensil grip,lightweight,glass,0.9799547852298417
1.7,zero-shot,kitchen utensil grip,lightweight,wood,0.9629392516716461
1.7,zero-shot,kitchen utensil grip,lightweight,thermoplastic,0.9494318656529368
1.7,zero-shot,kitchen utensil grip,lightweight,elastomer,0.8958896179081436
1.7,zero-shot,kitchen utensil grip,lightweight,thermoset,0.9741369082927986
1.7,zero-shot,kitchen utensil grip,lightweight,composite,0.9797679262124368
1.7,zero-shot,kitchen utensil grip,heat resistant,steel,0.9678661655061926
1.7,zero-shot,kitchen utensil grip,heat resistant,aluminum,0.9695097380792478
1.7,zero-shot,kitchen utensil grip,heat resistant,titanium,0.9551918433056077
1.7,zero-shot,kitchen utensil grip,heat resistant,glass,0.9633248042180352
1.7,zero-shot,kitchen utensil grip,heat resistant,wood,0.962884670108541
1.7,zero-shot,kitchen utensil grip,heat resistant,thermoplastic,0.9665249088699879
1.7,zero-shot,kitchen utensil grip,heat resistant,elastomer,0.9698868229587713
1.7,zero-shot,kitchen utensil grip,heat resistant,thermoset,0.9740154283394235
1.7,zero-shot,kitchen utensil grip,heat resistant,composite,0.9690631808278867
1.7,zero-shot,kitchen utensil grip,corrosion resistant,steel,0.9609542257110817
1.7,zero-shot,kitchen utensil grip,corrosion resistant,aluminum,0.9545795661651717
1.7,zero-shot,kitchen utensil grip,corrosion resistant,titanium,0.9596555121048389
1.7,zero-shot,kitchen utensil grip,corrosion resistant,glass,0.985911046213347
1.7,zero-shot,kitchen utensil grip,corrosion resistant,wood,0.9703183921004549
1.7,zero-shot,kitchen utensil grip,corrosion resistant,thermoplastic,0.9857832508284581
1.7,zero-shot,kitchen utensil grip,corrosion resistant,elastomer,0.9706916764361079
1.7,zero-shot,kitchen utensil grip,corrosion resistant,thermoset,0.9720489205783324
1.7,zero-shot,kitchen utensil grip,corrosion resistant,composite,0.9852957778279521
1.7,zero-shot,kitchen utensil grip,high strength,steel,0.963850068664674
1.7,zero-shot,kitchen utensil grip,high strength,aluminum,0.9838009236920108
1.7,zero-shot,kitchen utensil grip,high strength,titanium,0.9786845446243624
1.7,zero-shot,kitchen utensil grip,high strength,glass,0.9618602484988606
1.7,zero-shot,kitchen utensil grip,high strength,wood,0.9594669408415059
1.7,zero-shot,kitchen utensil grip,high strength,thermoplastic,0.9844025812425847
1.7,zero-shot,kitchen utensil grip,high strength,elastomer,0.9846357956004451
1.7,zero-shot,kitchen utensil grip,high strength,thermoset,0.9660586363948459
1.7,zero-shot,kitchen utensil grip,high strength,composite,0.9735509285312324
1.7,zero-shot,spacecraft component,lightweight,steel,0.9804779602765455
1.7,zero-shot,spacecraft component,lightweight,aluminum,0.9784487628516552
1.7,zero-shot,spacecraft component,lightweight,titanium,0.9758906699901156
1.7,zero-shot,spacecraft component,lightweight,glass,0.9851078268737747
1.7,zero-shot,spacecraft component,lightweight,wood,0.9804311427375471
1.7,zero-shot,spacecraft component,lightweight,thermoplastic,0.9855053707777922
1.7,zero-shot,spacecraft component,lightweight,elastomer,0.9568919638105375
1.7,zero-shot,spacecraft component,lightweight,thermoset,0.9738092337678158
1.7,zero-shot,spacecraft component,lightweight,composite,0.9668886325503356
1.7,zero-shot,spacecraft component,heat resistant,steel,0.9795652173913043
1.7,zero-shot,spacecraft component,heat resistant,aluminum,0.946237933900147
1.7,zero-shot,spacecraft component,heat resistant,titanium,0.9842307692307692
1.7,zero-shot,spacecraft component,heat resistant,glass,0.9866647650288811
1.7,zero-shot,spacecraft component,heat resistant,wood,0.9770380692975232
1.7,zero-shot,spacecraft component,heat resistant,thermoplastic,0.9840600007371098
1.7,zero-shot,spacecraft component,heat resistant,elastomer,0.9530822823882177
1.7,zero-shot,spacecraft component,heat resistant,thermoset,0.9747524752475247
1.7,zero-shot,spacecraft component,heat resistant,composite,0.9788841895758179
1.7,zero-shot,spacecraft component,corrosion resistant,steel,0.9753998785179187
1.7,zero-shot,spacecraft component,corrosion resistant,aluminum,0.9844482932813741
1.7,zero-shot,spacecraft component,corrosion resistant,titanium,0.972744151503899
1.7,zero-shot,spacecraft component,corrosion resistant,glass,0.9842117117117117
1.7,zero-shot,spacecraft component,corrosion resistant,wood,0.9781609195402299
1.7,zero-shot,spacecraft component,corrosion resistant,thermoplastic,0.9777070063694268
1.7,zero-shot,spacecraft component,corrosion resistant,elastomer,0.9429124334784712
1.7,zero-shot,spacecraft component,corrosion resistant,thermoset,0.9441688006828852
1.7,zero-shot,spacecraft component,corrosion resistant,composite,0.9778879409730228
1.7,zero-shot,spacecraft component,high strength,steel,0.9686731297930835
1.7,zero-shot,spacecraft component,high strength,aluminum,0.9591305301244449
1.7,zero-shot,spacecraft component,high strength,titanium,0.986271578088895
1.7,zero-shot,spacecraft component,high strength,glass,0.9862849887799693
1.7,zero-shot,spacecraft component,high strength,wood,0.9735265400319546
1.7,zero-shot,spacecraft component,high strength,thermoplastic,0.9856208879877519
1.7,zero-shot,spacecraft component,high strength,elastomer,0.9861396303901437
1.7,zero-shot,spacecraft component,high strength,thermoset,0.9764136066681686
1.7,zero-shot,spacecraft component,high strength,composite,0.9725875881860576
1.7,zero-shot,underwater component,lightweight,steel,0.982036987877179
1.7,zero-shot,underwater component,lightweight,aluminum,0.9145569620253164
1.7,zero-shot,underwater component,lightweight,titanium,0.9847646107872434
1.7,zero-shot,underwater component,lightweight,glass,0.9832606800348735
1.7,zero-shot,underwater component,lightweight,wood,0.9327473056776446
1.7,zero-shot,underwater component,lightweight,thermoplastic,0.986322924231421
1.7,zero-shot,underwater component,lightweight,elastomer,0.9257611806489432
1.7,zero-shot,underwater component,lightweight,thermoset,0.9811989034715315
1.7,zero-shot,underwater component,lightweight,composite,0.9741995648119366
1.7,zero-shot,underwater component,heat resistant,steel,0.9834890683117119
1.7,zero-shot,underwater component,heat resistant,aluminum,0.9837258622614131
1.7,zero-shot,underwater component,heat resistant,titanium,0.9713257740950719
1.7,zero-shot,underwater component,heat resistant,glass,0.9708859490879935
1.7,zero-shot,underwater component,heat resistant,wood,0.9777395154347559
1.7,zero-shot,underwater component,heat resistant,thermoplastic,0.9859849624060151
1.7,zero-shot,underwater component,heat resistant,elastomer,0.9829280910501811
1.7,zero-shot,underwater component,heat resistant,thermoset,0.9731537638244738
1.7,zero-shot,underwater component,heat resistant,composite,0.9813859609777977
1.7,zero-shot,underwater component,corrosion resistant,steel,0.9609428993032856
1.7,zero-shot,underwater component,corrosion resistant,aluminum,0.9310005046985027
1.7,zero-shot,underwater component,corrosion resistant,titanium,0.978649896083565
1.7,zero-shot,underwater component,corrosion resistant,glass,0.9679205802300153
1.7,zero-shot,underwater component,corrosion resistant,wood,0.9769220010256888
1.7,zero-shot,underwater component,corrosion resistant,thermoplastic,0.9780505565380214
1.7,zero-shot,underwater component,corrosion resistant,elastomer,0.9707800603361586
1.7,zero-shot,underwater component,corrosion resistant,thermoset,0.9788493150684932
1.7,zero-shot,underwater component,corrosion resistant,composite,0.9871574754481148
1.7,zero-shot,underwater component,high strength,steel,0.9808939374156765
1.7,zero-shot,underwater component,high strength,aluminum,0.9836477987421384
1.7,zero-shot,underwater component,high strength,titanium,0.9838164402429099
1.7,zero-shot,underwater component,high strength,glass,0.9856931425752343
1.7,zero-shot,underwater component,high strength,wood,0.9856158063290452
1.7,zero-shot,underwater component,high strength,thermoplastic,0.9778473931528306
1.7,zero-shot,underwater component,high strength,elastomer,0.9838069791919682
1.7,zero-shot,underwater component,high strength,thermoset,0.9735213865723839
1.7,zero-shot,underwater component,high strength,composite,0.9840457555689344
1.7,zero-shot,safety helmet,lightweight,steel,0.957314751351763
1.7,zero-shot,safety helmet,lightweight,aluminum,0.9832274011299436
1.7,zero-shot,safety helmet,lightweight,titanium,0.9858724975152634
1.7,zero-shot,safety helmet,lightweight,glass,0.9701195219123506
1.7,zero-shot,safety helmet,lightweight,wood,0.9612027158098932
1.7,zero-shot,safety helmet,lightweight,thermoplastic,0.9687766498858353
1.7,zero-shot,safety helmet,lightweight,elastomer,0.888045540796964
1.7,zero-shot,safety helmet,lightweight,thermoset,0.9806658940048467
1.7,zero-shot,safety helmet,lightweight,composite,0.9858698501203327
1.7,zero-shot,safety helmet,heat resistant,steel,0.9833718047362572
1.7,zero-shot,safety helmet,heat resistant,aluminum,0.9515790723444673
1.7,zero-shot,safety helmet,heat resistant,titanium,0.9545454545454546
1.7,zero-shot,safety helmet,heat resistant,glass,0.9803420310296191
1.7,zero-shot,safety helmet,heat resistant,wood,0.9719432758854661
1.7,zero-shot,safety helmet,heat resistant,thermoplastic,0.9837042354630294
1.7,zero-shot,safety helmet,heat resistant,elastomer,0.9852521650534896
1.7,zero-shot,safety helmet,heat resistant,thermoset,0.9655217619297326
1.7,zero-shot,safety helmet,heat resistant,composite,0.9807944972563567
1.7,zero-shot,safety helmet,corrosion resistant,steel,0.98481332332264
1.7,zero-shot,safety helmet,corrosion resistant,aluminum,0.9855951478392722
1.7,zero-shot,safety helmet,corrosion resistant,titanium,0.966789899116486
1.7,zero-shot,safety helmet,corrosion resistant,glass,0.9740045343487926
1.7,zero-shot,safety helmet,corrosion resistant,wood,0.9846089071856288
1.7,zero-shot,safety helmet,corrosion resistant,thermoplastic,0.9854469854469854
1.7,zero-shot,safety helmet,corrosion resistant,elastomer,0.9823872275722251
1.7,zero-shot,safety helmet,corrosion resistant,thermoset,0.984502347760504
1.7,zero-shot,safety helmet,corrosion resistant,composite,0.9662611152129947
1.7,zero-shot,safety helmet,high strength,steel,0.9857792396246493
1.7,zero-shot,safety helmet,high strength,aluminum,0.9850084199285333
1.7,zero-shot,safety helmet,high strength,titanium,0.9685062764614127
1.7,zero-shot,safety helmet,high strength,glass,0.9744271150997648
1.7,zero-shot,safety helmet,high strength,wood,0.9858548271995107
1.7,zero-shot,safety helmet,high strength,thermoplastic,0.9786654561960962
1.7,zero-shot,safety helmet,high strength,elastomer,0.9849400676160229
1.7,zero-shot,safety helmet,high strength,thermoset,0.978528773072747
1.7,zero-shot,safety helmet,high strength,composite,0.978330550918197
1.7,few-shot,kitchen utensil grip,lightweight,steel,0.9830184407154897
1.7,few-shot,kitchen utensil grip,lightweight,aluminum,0.9831066571224052
1.7,few-shot,kitchen utensil grip,lightweight,titanium,0.97260558984673
1.7,few-shot,kitchen utensil grip,lightweight,glass,0.6860587792012057
1.7,few-shot,kitchen utensil grip,lightweight,wood,0.8903827002418552
1.7,few-shot,kitchen utensil grip,lightweight,thermoplastic,0.9316567800150388
1.7,few-shot,kitchen utensil grip,lightweight,elastomer,0.8644024186285861
1.7,few-shot,kitchen utensil grip,lightweight,thermoset,0.9613536599833906
1.7,few-shot,kitchen utensil grip,lightweight,composite,0.9849003272835466
1.7,few-shot,kitchen utensil grip,heat resistant,steel,0.9478094768624068
1.7,few-shot,kitchen utensil grip,heat resistant,aluminum,0.9839265726438325
1.7,few-shot,kitchen utensil grip,heat resistant,titanium,0.9551918433056077
1.7,few-shot,kitchen utensil grip,heat resistant,glass,0.9862371094052881
1.7,few-shot,kitchen utensil grip,heat resistant,wood,0.9333712752550917
1.7,few-shot,kitchen utensil grip,heat resistant,thermoplastic,0.9665249088699879
1.7,few-shot,kitchen utensil grip,heat resistant,elastomer,0.9578729902092877
1.7,few-shot,kitchen utensil grip,heat resistant,thermoset,0.9626218026796589
1.7,few-shot,kitchen utensil grip,heat resistant,composite,0.9862745098039216
1.7,few-shot,kitchen utensil grip,corrosion resistant,steel,0.9609542257110817
1.7,few-shot,kitchen utensil grip,corrosion resistant,aluminum,0.9862952506879177
1.7,few-shot,kitchen utensil grip,corrosion resistant,titanium,0.9693423684289083
1.7,few-shot,kitchen utensil grip,corrosion resistant,glass,0.9774458344843916
1.7,few-shot,kitchen utensil grip,corrosion resistant,wood,0.97638300353769
1.7,few-shot,kitchen utensil grip,corrosion resistant,thermoplastic,0.954854150472528
1.7,few-shot,kitchen utensil grip,corrosion resistant,elastomer,0.9424579914028918
1.7,few-shot,kitchen utensil grip,corrosion resistant,thermoset,0.9803921568627451
1.7,few-shot,kitchen utensil grip,corrosion resistant,composite,0.9828121472115602
1.7,few-shot,kitchen utensil grip,high strength,steel,0.9346069957185557
1.7,few-shot,kitchen utensil grip,high strength,aluminum,0.9838009236920108
1.7,few-shot,kitchen utensil grip,high strength,titanium,0.9786845446243624
1.7,few-shot,kitchen utensil grip,high strength,glass,0.9618602484988606
1.7,few-shot,kitchen utensil grip,high strength,wood,0.9822445428661816
1.7,few-shot,kitchen utensil grip,high strength,thermoplastic,0.9780362878722111
1.7,few-shot,kitchen utensil grip,high strength,elastomer,0.9729949499272447
1.7,few-shot,kitchen utensil grip,high strength,thermoset,0.9860160666468313
1.7,few-shot,kitchen utensil grip,high strength,composite,0.986092129592411
1.7,few-shot,spacecraft component,lightweight,steel,0.9804779602765455
1.7,few-shot,spacecraft component,lightweight,aluminum,0.9549485933792792
1.7,few-shot,spacecraft component,lightweight,titanium,0.9678972022863037
1.7,few-shot,spacecraft component,lightweight,glass,0.9698386367063792
1.7,few-shot,spacecraft component,lightweight,wood,0.9659114692339891
1.7,few-shot,spacecraft component,lightweight,thermoplastic,0.9409861524524396
1.7,few-shot,spacecraft component,lightweight,elastomer,0.9172727810300988
1.7,few-shot,spacecraft component,lightweight,thermoset,0.9818796442928494
1.7,few-shot,spacecraft component,lightweight,composite,0.9832476929530202
1.7,few-shot,spacecraft component,heat resistant,steel,0.9699184782608695
1.7,few-shot,spacecraft component,heat resistant,aluminum,0.9780732596049351
1.7,few-shot,spacecraft component,heat resistant,titanium,0.9704655870445345
1.7,few-shot,spacecraft component,heat resistant,glass,0.9866647650288811
1.7,few-shot,spacecraft component,heat resistant,wood,0.986666244378286
1.7,few-shot,spacecraft component,heat resistant,thermoplastic,0.9602329266944312
1.7,few-shot,spacecraft component,heat resistant,elastomer,0.9365243848663903
1.7,few-shot,spacecraft component,heat resistant,thermoset,0.963490099009901
1.7,few-shot,spacecraft component,heat resistant,composite,0.9865965916158727
1.7,few-shot,spacecraft component,corrosion resistant,steel,0.9852196800971856
1.7,few-shot,spacecraft component,corrosion resistant,aluminum,0.9717832142599409
1.7,few-shot,spacecraft component,corrosion resistant,titanium,0.972744151503899
1.7,few-shot,spacecraft component,corrosion resistant,glass,0.9787387387387387
1.7,few-shot,spacecraft component,corrosion resistant,wood,0.9781609195402299
1.7,few-shot,spacecraft component,corrosion resistant,thermoplastic,0.9185397694372796
1.7,few-shot,spacecraft component,corrosion resistant,elastomer,0.8525641025641025
1.7,few-shot,spacecraft component,corrosion resistant,thermoset,0.9716976099018353
1.7,few-shot,spacecraft component,corrosion resistant,composite,0.9832603181922989
1.7,few-shot,spacecraft component,high strength,steel,0.978054309554816
1.7,few-shot,spacecraft component,high strength,aluminum,0.9861027355956362
1.7,few-shot,spacecraft component,high strength,titanium,0.9752616555661275
1.7,few-shot,spacecraft component,high strength,glass,0.958013464036849
1.7,few-shot,spacecraft component,high strength,wood,0.9426371382922066
1.7,few-shot,spacecraft component,high strength,thermoplastic,0.9695659370215584
1.7,few-shot,spacecraft component,high strength,elastomer,0.9861396303901437
1.7,few-shot,spacecraft component,high strength,thermoset,0.9828339716152287
1.7,few-shot,spacecraft component,high strength,composite,0.9857706564629918
1.7,few-shot,underwater component,lightweight,steel,0.9857977170161932
1.7,few-shot,underwater component,lightweight,aluminum,0.9145569620253164
1.7,few-shot,underwater component,lightweight,titanium,0.9761426541909567
1.7,few-shot,underwater component,lightweight,glass,0.9864864864864865
1.7,few-shot,underwater component,lightweight,wood,0.7998073333734722
1.7,few-shot,underwater component,lightweight,thermoplastic,0.9129750665698378
1.7,few-shot,underwater component,lightweight,elastomer,0.8657632495431192
1.7,few-shot,underwater component,lightweight,thermoset,0.9811989034715315
1.7,few-shot,underwater component,lightweight,composite,0.9862509265679922
1.7,few-shot,underwater component,heat resistant,steel,0.9769572711603012
1.7,few-shot,underwater component,heat resistant,aluminum,0.967741935483871
1.7,few-shot,underwater component,heat resistant,titanium,0.986698648059311
1.7,few-shot,underwater component,heat resistant,glass,0.9853176989376629
1.7,few-shot,underwater component,heat resistant,wood,0.9019800762513835
1.7,few-shot,underwater component,heat resistant,thermoplastic,0.9524611528822056
1.7,few-shot,underwater component,heat resistant,elastomer,0.9348838255471333
1.7,few-shot,underwater component,heat resistant,thermoset,0.9731537638244738
1.7,few-shot,underwater component,heat resistant,composite,0.9866686601380479
1.7,few-shot,underwater component,corrosion resistant,steel,0.9303845938323029
1.7,few-shot,underwater component,corrosion resistant,aluminum,0.9867576726189046
1.7,few-shot,underwater component,corrosion resistant,titanium,0.978649896083565
1.7,few-shot,underwater component,corrosion resistant,glass,0.9824577964475071
1.7,few-shot,underwater component,corrosion resistant,wood,0.9769220010256888
1.7,few-shot,underwater component,corrosion resistant,thermoplastic,0.9212940809320711
1.7,few-shot,underwater component,corrosion resistant,elastomer,0.9142364602786957
1.7,few-shot,underwater component,corrosion resistant,thermoset,0.9682739726027397
1.7,few-shot,underwater component,corrosion resistant,composite,0.9824874665201566
1.7,few-shot,underwater component,high strength,steel,0.9586978282630456
1.7,few-shot,underwater component,high strength,aluminum,0.9836477987421384
1.7,few-shot,underwater component,high strength,titanium,0.9838164402429099
1.7,few-shot,underwater component,high strength,glass,0.9728817217562901
1.7,few-shot,underwater component,high strength,wood,0.9856158063290452
1.7,few-shot,underwater component,high strength,thermoplastic,0.9636160214813158
1.7,few-shot,underwater component,high strength,elastomer,0.9813173022427334
1.7,few-shot,underwater component,high strength,thermoset,0.9803812305445602
1.7,few-shot,underwater component,high strength,composite,0.9840457555689344
1.7,few-shot,safety helmet,lightweight,steel,0.957314751351763
1.7,few-shot,safety helmet,lightweight,aluminum,0.9832274011299436
1.7,few-shot,safety helmet,lightweight,titanium,0.9858724975152634
